Product ID,Handle,Title,URL,Status,Published,Total Variants,In Stock Variants,Out of Stock Variants,Inventory %,Option 1 Name,Option 2 Name,Option 1 Values,Option 2 Values
10159067955473,practice-starter-kit,Adult Wrestler Gift Bundle - White/Midnight,https://www.rudis.com/products/practice-starter-kit,Active,true,140,20,120,14.3,RUDIS Black/White Knit Essential Socks (2 Pair) (Size),RUDIS 2.0 Elite Headgear - Black (Size),"LG, MD, SM, XL, Youth","Adult, Youth"
10038004711697,wrestler-arched-elite-super-soft-t-shirt,Wrestler Arched Elite Super Soft T-Shirt,https://www.rudis.com/products/wrestler-arched-elite-super-soft-t-shirt,Active,true,63,0,63,0.0,Color,Size,"Black/Orange, Black/Red, Black/Yellow, Heather Gray, Navy, Navy/Yellow, Red, Royal, White","2XL, 3XL, LG, MD, SM, XL, XS"
10159077687569,youth-wrestling-practice-starter-kit,Youth Wrestler Gift Bundle - White/Midnight,https://www.rudis.com/products/youth-wrestling-practice-starter-kit,Active,true,110,50,60,45.5,RUDIS Black/White Knit Essential Socks (2 Pair) (Size),RUDIS 2.0 Elite Headgear - Black (Size),"LG, MD, SM, XL, Youth","Adult, Youth"
8724315963665,rudis-big-hex-t-shirt,RUDIS Big Hex T-Shirt,https://www.rudis.com/products/rudis-big-hex-t-shirt,Active,true,58,0,58,0.0,Color,Size,"Black, Charcoal, Forest Green, Gray, Navy, Navy/Black, Red, Red/Black, Royal, White","2XL, 3XL, LG, MD, SM, XL, XS"
8764591243537,super-soft-t-shirt-rudis-supply,Super Soft T-Shirt | RUDIS Supply,https://www.rudis.com/products/super-soft-t-shirt-rudis-supply,Active,true,57,0,57,0.0,Color,Size,"Army Green, Black, Forest, Heather Navy, Light Blue, Light Gray, Navy, Peach, White","2XL, 3XL, LG, MD, SM, XL, XS"
8724318585105,rudis-essential-hex-t-shirt,RUDIS Essential Hex T-Shirt,https://www.rudis.com/products/rudis-essential-hex-t-shirt,Active,true,50,0,50,0.0,Color,Size,"Black, Charcoal, Gray, Green, Heather Navy, Light Blue, Military Green, Red, White","2XL, 3XL, LG, MD, SM, XL, XS"
9026918252817,performance-uniform-set,Performance Uniform Set,https://www.rudis.com/products/performance-uniform-set,Active,true,49,0,49,0.0,Performance Uniform Jacket-Unisex--All In Wrestling Academy Team Store (Size),Performance Uniform Pants-Unisex--All In Wrestling Academy Team Store (Size),"2XL, 3XL, LG, MD, SM, XL, XS","2XL, 3XL, LG, MD, SM, XL, XS"
10051341943057,a-way-of-life-bold-t-shirt,A Way of Life Bold T-Shirt,https://www.rudis.com/products/a-way-of-life-bold-t-shirt,Active,true,49,0,49,0.0,Color,Size,"Black/Orange, Black/Red, Heather Gray, Navy, Red, Royal, White","2XL, 3XL, LG, MD, SM, XL, XS"
10385518887185,usaw-vintage-logo-adult-bundle,USA Wrestling Vintage Logo Adult Set,https://www.rudis.com/products/usaw-vintage-logo-adult-bundle,Active,true,49,0,49,0.0,USA Wrestling Vintage Elite Super Soft T-Shirt (Size),"USAW Wrestling Vintage 6"" 2.0 Mesh Shorts (Size)","2XL, 3XL, LG, MD, SM, XL, XS","2XL, 3XL, LG, MD, SM, XL, XS"
8724318191889,rudis-essential-hex-classic-hoodie,RUDIS Essential Hex Classic Hoodie,https://www.rudis.com/products/rudis-essential-hex-classic-hoodie,Active,true,48,0,48,0.0,Color,Size,"Black, Bone, Gray/Black, Light Gray, Red, Royal, Sandstone","2XL, 3XL, LG, MD, SM, XL, XS"
8763884962065,classic-blend-t-shirt-rudis-supply,Classic Blend T-Shirt | RUDIS Supply,https://www.rudis.com/products/classic-blend-t-shirt-rudis-supply,Active,true,48,0,48,0.0,Color,Size,"Black, Blue Glass, Brick, Coastal, Flint, Nomad, Washed Denim, White","2XL, 3XL, LG, MD, SM, XL"
10022462849297,team-rudis-wrestling-stacked-t-shirt,Team RUDIS Wrestling Stacked T-Shirt,https://www.rudis.com/products/team-rudis-wrestling-stacked-t-shirt,Active,true,42,0,42,0.0,Color,Size,"Black, Emerald, Ice, Navy, Red, White","2XL, 3XL, LG, MD, SM, XL, XS"
10126616658193,rudis-label-t-shirt,RUDIS Label T-Shirt,https://www.rudis.com/products/rudis-label-t-shirt,Active,true,42,0,42,0.0,Color,Size,"Black, Emerald, Navy, Red, Royal, White","2XL, 3XL, LG, MD, SM, XL, XS"
10158943502609,wrestling-wordmark-elite-super-soft-t-shirt,Wrestling Wordmark Elite Super Soft T-Shirt,https://www.rudis.com/products/wrestling-wordmark-elite-super-soft-t-shirt,Active,true,39,0,39,0.0,Color,Size,"Athletic Gray, Black, Navy, Red, Royal, White","2XL, 3XL, LG, MD, SM, XL, XS"
10194599674129,hoodie-jogger-fleece-gift-bundle-athletic-grey,RUDIS Titan Heavyweight Fleece Gift Bundle - Athletic Grey,https://www.rudis.com/products/hoodie-jogger-fleece-gift-bundle-athletic-grey,Active,true,49,12,37,24.5,RUDIS Titan Heavyweight Fleece Hoodie - Athletic Grey (Size),RUDIS Titan Heavyweight Fleece Jogger - Athletic Grey (Size),"2XL, 3XL, LG, MD, SM, XL, XS","2XL, 3XL, LG, MD, SM, XL, XS"
9122521317649,rudis-echo-t-shirt,RUDIS Echo T-Shirt,https://www.rudis.com/products/rudis-echo-t-shirt,Active,true,34,0,34,0.0,Color,Size,"Black, Gray, Light Blue, Royal, White","2XL, 3XL, LG, MD, SM, XL, XS"
10126616559889,a-way-of-life-bold-jogger,A Way of Life Bold Jogger,https://www.rudis.com/products/a-way-of-life-bold-jogger,Active,true,42,8,34,19.0,Color,Size,"Black, Heather Gray, Lunar Gray, Navy, Red, White","2XL, 3XL, LG, MD, SM, XL, XS"
10111314919697,womens-textured-tank-top-2-color-bundle,RUDIS Spirit Women's Textured Tank Top - 2 Color Bundle,https://www.rudis.com/products/womens-textured-tank-top-2-color-bundle,Active,true,36,3,33,8.3,RUDIS Spirit Women's Textured Tank Top (Size),RUDIS Spirit Women's Textured Tank Top (2) (Size),"2XL, LG, MD, SM, XL, XS","2XL, LG, MD, SM, XL, XS"
8774680150289,thermal-long-sleeve-rudis-supply-2,Thermal Long Sleeve | RUDIS Supply,https://www.rudis.com/products/thermal-long-sleeve-rudis-supply-2,Active,false,30,0,30,0.0,Color,Size,"Black, Driftwood, Night, Pumice, Sandstone, White","2XL, LG, MD, SM, XL"
10038004646161,rudis-wrestling-slanted-t-shirt,RUDIS Wrestling Slanted T-Shirt,https://www.rudis.com/products/rudis-wrestling-slanted-t-shirt,Active,true,30,0,30,0.0,Color,Size,"Black, Ice, Navy, Royal, White","2XL, 3XL, LG, MD, SM, XL, XS"
10346303881489,uww-referee-bundle,UWW Referee Bundle,https://www.rudis.com/products/uww-referee-bundle,Active,true,180,150,30,83.3,UWW Referee Polo (Size),UWW Referee Polo (Quantity),"2XL, 3XL, LG, MD, SM, XL","1, 2"
8724320583953,rudis-heavyweight-fleece-hoodie,RUDIS Heavyweight Fleece Hoodie,https://www.rudis.com/products/rudis-heavyweight-fleece-hoodie,Active,true,28,0,28,0.0,Color,Size,"Black, Gray, Military Green, Navy","2XL, 3XL, LG, MD, SM, XL, XS"
8724318322961,rudis-essential-hex-heavyweight-crewneck,RUDIS Essential Hex Heavyweight Crewneck,https://www.rudis.com/products/rudis-essential-hex-heavyweight-crewneck,Active,true,28,0,28,0.0,Color,Size,"Army Green, Black, Navy, Red","2XL, 3XL, LG, MD, SM, XL, XS"
8724318224657,rudis-essential-hex-crewneck,RUDIS Essential Hex Crewneck,https://www.rudis.com/products/rudis-essential-hex-crewneck,Active,true,28,0,28,0.0,Color,Size,"Black, Camel, Gray, Navy","2XL, 3XL, LG, MD, SM, XL, XS"
9149250339089,rudis-grit-elite-2-0-singlet,RUDIS Grit Elite 2.0 Singlet,https://www.rudis.com/products/rudis-grit-elite-2-0-singlet,Active,true,28,0,28,0.0,Color,Size,"Black, Navy, Red, White","2XL, 3XL, LG, MD, SM, XL, XS"
8724320551185,rudis-heavyweight-fleece-crewneck,RUDIS Heavyweight Fleece Crewneck,https://www.rudis.com/products/rudis-heavyweight-fleece-crewneck,Active,true,28,0,28,0.0,Color,Size,"Black, Gray, Military Green, Navy","2XL, 3XL, LG, MD, SM, XL, XS"
9149402546449,usa-triumph-womens-elite-2-0-singlet,USA Triumph Women's Elite 2.0 Singlet,https://www.rudis.com/products/usa-triumph-womens-elite-2-0-singlet,Active,true,28,0,28,0.0,Color,Size,"Black, Red, Royal, White","2XL, 3XL, LG, MD, SM, XL, XS"
9149239886097,rudis-freefall-boys-elite-singlet,RUDIS Freefall Boy's Elite Singlet,https://www.rudis.com/products/rudis-freefall-boys-elite-singlet,Active,true,28,0,28,0.0,Color,Size,"Black, Light Blue, Maroon, Navy","Y2XS, Y3XS, YLG, YMD, YSM, YXL, YXS"
9149402054929,usa-triumph-elite-2-0-singlet,USA Triumph Elite 2.0 Singlet,https://www.rudis.com/products/usa-triumph-elite-2-0-singlet,Active,true,28,0,28,0.0,Color,Size,"Black, Red, Royal, White","2XL, 3XL, LG, MD, SM, XL, XS"
9149250371857,rudis-grit-boys-elite-singlet,RUDIS Grit Boy's Elite Singlet,https://www.rudis.com/products/rudis-grit-boys-elite-singlet,Active,true,28,0,28,0.0,Color,Size,"Black, Navy, Red, White","2XS, 3XS, LG, MD, SM, XL, XS"
9032459518225,rudis-blitz-elite-2-0-singlet,RUDIS Blitz Elite 2.0 Singlet,https://www.rudis.com/products/rudis-blitz-elite-2-0-singlet,Active,true,28,0,28,0.0,Color,Size,"Black, Gray, Red, Royal","2XL, 3XL, LG, MD, SM, XL, XS"
9149206692113,rudis-connect-elite-2-0-singlet,RUDIS Connect Elite 2.0 Singlet,https://www.rudis.com/products/rudis-connect-elite-2-0-singlet,Active,true,28,0,28,0.0,Color,Size,"Black, Gold, Gray, Light Blue","2XL, 3XL, LG, MD, SM, XL, XS"
9149239918865,rudis-freefall-womens-elite-2-0-singlet,RUDIS Freefall Women's Elite 2.0 Singlet,https://www.rudis.com/products/rudis-freefall-womens-elite-2-0-singlet,Active,true,28,0,28,0.0,Color,Size,"Black, Light Blue, Maroon, Navy","2XL, 3XL, LG, MD, SM, XL, XS"
9040893018385,usa-pride-womens-elite-2-0-singlet,USA Pride Women's Elite 2.0 Singlet,https://www.rudis.com/products/usa-pride-womens-elite-2-0-singlet,Active,true,28,0,28,0.0,Color,Size,"Black, Light Blue, Navy, Red","2XL, 3XL, LG, MD, SM, XL, XS"
9032646983953,rudis-blitz-boys-elite-singlet,RUDIS Blitz Boy's Elite Singlet,https://www.rudis.com/products/rudis-blitz-boys-elite-singlet,Active,true,28,0,28,0.0,Color,Size,"Black, Gray, Red, Royal","Y2XS, Y3XS, YLG, YMD, YSM, YXL, YXS"
9038493942033,team-rudis-smooth-operator-elite-2-0-singlet,Team RUDIS Smooth Operator Elite 2.0 Singlet,https://www.rudis.com/products/team-rudis-smooth-operator-elite-2-0-singlet,Active,true,28,0,28,0.0,Color,Size,"Black, Gray, Navy, Red","2XL, 3XL, LG, MD, SM, XL, XS"
9061182472465,rudis-ultimate-crewneck,RUDIS Ultimate Crewneck,https://www.rudis.com/products/rudis-ultimate-crewneck,Active,true,28,0,28,0.0,Color,Size,"Dark Olive, Maroon, Midnight, Roger","2XL, 3XL, LG, MD, SM, XL, XS"
9040892952849,usa-pride-boys-elite-singlet,USA Pride Boy's Elite Singlet,https://www.rudis.com/products/usa-pride-boys-elite-singlet,Active,true,28,0,28,0.0,Color,Size,"Black, Light Blue, Navy, Red","Y2XS, Y3XS, YLG, YMD, YSM, YXL, YXS"
9215075025169,rudis-cool-feel-cord-grip-hoodie,RUDIS COOL-FEEL Cord Grip Hoodie,https://www.rudis.com/products/rudis-cool-feel-cord-grip-hoodie,Active,true,28,0,28,0.0,Color,Size,"Black, Dark Clay, Dark Olive, Roger","2XL, 3XL, LG, MD, SM, XL, XS"
9230694842641,rudis-wordmark-performance-heather-t-shirt,RUDIS Wordmark Performance Heather T-Shirt,https://www.rudis.com/products/rudis-wordmark-performance-heather-t-shirt,Active,true,28,0,28,0.0,Color,Size,"Heather Carbon, Heather Red, Heather Royal, Heather White","2XL, 3XL, LG, MD, SM, XL, XS"
10110288658705,rudis-wrestling-slanted-elite-terry-crewneck,RUDIS Wrestling Slanted Elite Terry Crewneck,https://www.rudis.com/products/rudis-wrestling-slanted-elite-terry-crewneck,Active,true,28,0,28,0.0,Color,Size,"Ice, Navy, Red, Royal","2XL, 3XL, LG, MD, SM, XL, XS"
10111403360529,wrestler-arched-elite-super-soft-youth-t-shirt,Wrestler Arched Elite Super Soft Youth T-Shirt,https://www.rudis.com/products/wrestler-arched-elite-super-soft-youth-t-shirt,Active,true,27,0,27,0.0,Color,Size,"Black/Orange, Black/Red, Black/Yellow, Heather Gray, Navy, Navy/Yellow, Red, Royal, White","LG, MD, SM"
9122397716753,rudis-textured-t-shirt,RUDIS Textured T-Shirt,https://www.rudis.com/products/rudis-textured-t-shirt,Active,true,28,1,27,3.6,Color,Size,"Black, Bone, Lunar Gray, Roger","2XL, 3XL, LG, MD, SM, XL, XS"
9180994961681,usa-flag-womens-lightweight-shorts,USA Flag Women's Lightweight Shorts,https://www.rudis.com/products/usa-flag-womens-lightweight-shorts,Active,true,28,2,26,7.1,Color,Size,"Ice, Navy, Red, Royal","2XL, 3XL, LG, MD, SM, XL, XS"
10144745914641,rudis-core-boys-elite-singlet,RUDIS Core Boy's Elite Singlet,https://www.rudis.com/products/rudis-core-boys-elite-singlet,Active,true,70,44,26,62.9,Color,Size,"Black/Orange, Black/Pink, Black/White, Black/Yellow, Forest Green, Navy, Purple, Red, Royal, White","2T, 3/4T, YLG, YMD, YSM, YXL, YXS"
9175601545489,rudis-go-to-1-4-zip,RUDIS Go-To 1/4 Zip,https://www.rudis.com/products/rudis-go-to-1-4-zip,Active,true,28,3,25,10.7,Color,Size,"Black, Cocoa, Dark Olive, Roger","2XL, 3XL, LG, MD, SM, XL, XS"
10152688812305,wrestling-wordmark-performance-t-shirt,Wrestling Wordmark Performance T-Shirt,https://www.rudis.com/products/wrestling-wordmark-performance-t-shirt,Active,true,49,24,25,49.0,Color,Size,"Carbon, Ice, Navy, Orange, Red, Royal, White","2XL, 3XL, LG, MD, SM, XL, XS"
